date,E_Sagebrush,E_Saltdesert,W_Subalpine,W_Montana,W_Pinyon,W_Sagebrush
2019-05-01 00:10:00,12.7,18.61,8.67,11.01,9.35,8.86
2019-05-01 00:20:00,9.07,18.77,9.5,9.93,8.21,8.16
2019-05-01 00:30:00,7.988,20.98,10.43,11.9,10.42,11.98
2019-05-01 00:40:00,7.407,18.97,9.44,10.05,11.14,13.55
2019-05-01 00:50:00,4.529,20.34,9.87,11.57,7.658,15.33
2019-05-01 01:00:00,4.913,17.3,9.42,10.52,7.505,13.37
2019-05-01 01:10:00,4.903,14.98,5.736,10.09,7.596,13.74
2019-05-01 01:20:00,3.241,18.0,9.18,12.9,10.4,17.06
2019-05-01 01:30:00,2.533,14.67,9.29,13.65,9.73,16.47
2019-05-01 01:40:00,8.47,13.15,9.16,14.73,8.83,15.27
2019-05-01 01:50:00,11.3,14.51,10.11,13.9,9.55,16.7
2019-05-01 02:00:00,8.79,13.03,7.213,9.11,7.657,13.08
2019-05-01 02:10:00,6.694,14.46,9.37,8.3,5.977,12.95
2019-05-01 02:20:00,3.546,19.95,9.67,9.0,5.312,10.22
2019-05-01 02:30:00,2.291,17.41,7.36,4.889,2.763,13.68
2019-05-01 02:40:00,4.632,16.53,7.815,4.823,4.33,15.37
2019-05-01 02:50:00,3.439,13.93,4.83,6.343,8.59,17.34
2019-05-01 03:00:00,10.46,8.49,5.99,6.786,4.396,16.7
2019-05-01 03:10:00,6.673,11.09,10.27,7.55,2.318,12.67
2019-05-01 03:20:00,6.889,12.4,9.16,5.697,3.53,11.83
2019-05-01 03:30:00,8.14,10.68,11.79,5.017,2.366,11.37
2019-05-01 03:40:00,9.05,11.24,10.1,7.935,1.652,8.52
2019-05-01 03:50:00,4.593,12.55,10.55,5.878,3.763,6.24
2019-05-01 04:00:00,1.069,11.52,8.19,3.108,2.845,6.925
2019-05-01 04:10:00,1.112,10.63,8.62,1.9,1.79,11.08
2019-05-01 04:20:00,2.601,7.161,9.54,1.91,2.378,7.594
2019-05-01 04:30:00,3.584,1.806,8.93,2.329,2.771,9.2
2019-05-01 04:40:00,3.476,3.694,3.323,3.101,1.999,13.72
2019-05-01 04:50:00,4.899,4.877,4.67,2.31,2.636,14.37
2019-05-01 05:00:00,6.122,6.907,3.174,1.668,1.889,15.73
2019-05-01 05:10:00,5.143,7.706,2.397,3.123,3.913,14.01
2019-05-01 05:20:00,3.744,4.741,3.684,2.136,3.905,11.69
2019-05-01 05:30:00,2.279,1.795,2.17,2.144,4.183,11.44
2019-05-01 05:40:00,2.19,3.871,2.206,0.963,1.298,13.83
2019-05-01 05:50:00,2.288,4.437,7.126,4.974,2.535,11.49
2019-05-01 06:00:00,2.301,3.374,6.035,2.85,1.697,10.06
2019-05-01 06:10:00,3.09,2.743,2.972,2.344,2.794,7.855
2019-05-01 06:20:00,3.575,3.025,4.094,0.523,3.391,10.43
2019-05-01 06:30:00,4.753,4.403,2.311,1.915,1.561,11.99
2019-05-01 06:40:00,5.43,2.684,2.824,4.411,3.714,10.36
2019-05-01 06:50:00,5.315,1.797,3.304,5.166,2.598,8.07
2019-05-01 07:00:00,3.86,3.285,4.419,6.21,2.771,3.46
2019-05-01 07:10:00,4.09,6.841,4.145,5.817,2.997,2.533
2019-05-01 07:20:00,5.895,4.955,4.157,3.732,0.991,1.458
2019-05-01 07:30:00,7.57,2.388,5.398,8.19,3.351,7.003
2019-05-01 07:40:00,9.68,3.001,6.344,6.829,4.202,10.17
2019-05-01 07:50:00,10.33,5.277,7.34,5.194,1.514,7.479
2019-05-01 08:00:00,10.6,6.833,6.664,3.109,2.459,7.815
