date,E_Sagebrush,E_Saltdesert
2019-03-01 00:10:00,13.25,15.3
2019-03-01 00:20:00,8.42,14.86
2019-03-01 00:30:00,6.898,11.23
2019-03-01 00:40:00,6.235,9.13
2019-03-01 00:50:00,5.044,8.9
2019-03-01 01:00:00,8.54,8.0
2019-03-01 01:10:00,11.69,6.709
2019-03-01 01:20:00,8.86,8.03
2019-03-01 01:30:00,8.3,9.56
2019-03-01 01:40:00,14.47,11.39
2019-03-01 01:50:00,9.79,14.64
2019-03-01 02:00:00,5.464,18.49
2019-03-01 02:10:00,7.06,10.87
2019-03-01 02:20:00,6.699,8.41
2019-03-01 02:30:00,9.68,9.44
2019-03-01 02:40:00,9.52,8.41
2019-03-01 02:50:00,6.882,8.95
2019-03-01 03:00:00,7.256,8.47
2019-03-01 03:10:00,5.926,7.859
2019-03-01 03:20:00,4.31,6.008
2019-03-01 03:30:00,4.062,2.72
2019-03-01 03:40:00,5.059,10.01
2019-03-01 03:50:00,5.104,5.634
2019-03-01 04:00:00,1.754,6.735
2019-03-01 04:10:00,2.249,8.96
2019-03-01 04:20:00,3.384,8.57
2019-03-01 04:30:00,2.386,7.071
2019-03-01 04:40:00,5.418,4.829
2019-03-01 04:50:00,6.142,6.14
2019-03-01 05:00:00,5.681,9.18
2019-03-01 05:10:00,6.033,14.39
2019-03-01 05:20:00,4.174,10.81
2019-03-01 05:30:00,3.203,13.11
2019-03-01 05:40:00,5.141,12.89
2019-03-01 05:50:00,4.764,8.51
2019-03-01 06:00:00,6.225,6.799
2019-03-01 06:10:00,4.435,7.731
2019-03-01 06:20:00,3.81,7.358
2019-03-01 06:30:00,6.208,6.055
2019-03-01 06:40:00,3.83,4.154
2019-03-01 06:50:00,5.806,5.263
2019-03-01 07:00:00,7.86,7.277
2019-03-01 07:10:00,6.558,7.009
2019-03-01 07:20:00,5.884,7.212
2019-03-01 07:30:00,7.161,6.048
2019-03-01 07:40:00,2.289,2.095
2019-03-01 07:50:00,3.741,4.677
2019-03-01 08:00:00,5.851,4.446
2019-03-01 08:10:00,5.855,2.307
2019-03-01 08:20:00,7.649,1.265
2019-03-01 08:30:00,8.06,1.048
2019-03-01 08:40:00,9.52,2.323
2019-03-01 08:50:00,8.88,3.709
2019-03-01 09:00:00,9.32,0.878
2019-03-01 09:10:00,5.199,1.412
